prompt_structure,context_mode,choice_format,choice_order,scoring_target,length_normalize,image_size,enable_image_augmentation,brightness_jitter,slight_rotation_deg,include_metadata_in_prompt,metadata_fields,question_label,choices_label,answer_prefix_text,instruction_prefix,ablation_id,n_examples,accuracy,percent_correct,mean_confidence_margin,std_confidence_margin,prediction_distribution
question_first,hint_lecture,letter_dot,original,letter,True,384,False,0.0,0.0,True,"['subject', 'grade', 'topic']",Question:,Choices:,Answer:,,nongenC_001,12,0.4166666666666667,41.66666666666667,3.2630208333333335,0.34621707813302943,{0: 1.0}
question_first,hint_lecture,letter_dot,original,letter,True,384,False,0.0,0.0,True,"['subject', 'grade', 'topic']",Prompt:,Choices:,Answer:,,nongenC_002,12,0.4166666666666667,41.66666666666667,2.7942708333333335,0.32160140408219445,{0: 1.0}
