prompt_structure,context_mode,choice_format,output_format,max_new_tokens,decoding_strategy,parse_rule,image_size,enable_image_augmentation,brightness_jitter,slight_rotation_deg,include_metadata_in_prompt,metadata_fields,question_label,choices_label,answer_prefix_text,instruction_prefix,ablation_id,n_examples,accuracy,percent_correct,parse_failure_rate,invalid_output_rate,mean_output_length_chars,std_output_length_chars,prediction_distribution
context_first,hint_only,letter_dot,answer_prefix,256,greedy,strict_first_letter,384,False,0.0,0.0,True,"['subject', 'grade', 'topic']",Question:,Choices:,The correct answer is:,,genA_004,128,0.34375,34.375,0.1640625,0.0,437.0703125,168.17137759931785,"{0: 0.9375, 1: 0.0546875, 2: 0.0078125}"
question_first,hint_only,letter_dot,answer_prefix,256,greedy,strict_first_letter,384,False,0.0,0.0,True,"['subject', 'grade', 'topic']",Question:,Choices:,The correct answer is:,,genA_007,128,0.3203125,32.03125,0.140625,0.0,394.7734375,158.96870834203062,"{0: 0.921875, 1: 0.0546875, 2: 0.015625, 4: 0.0078125}"
question_first,hint_lecture,letter_dot,answer_prefix,256,greedy,strict_first_letter,384,False,0.0,0.0,True,"['subject', 'grade', 'topic']",Question:,Choices:,The correct answer is:,,genA_009,128,0.3203125,32.03125,0.15625,0.0,845.328125,361.02315778767485,"{0: 0.9375, 1: 0.0390625, 2: 0.0078125, 3: 0.0078125, 4: 0.0078125}"
context_first,hint_lecture,letter_dot,answer_prefix,256,greedy,strict_first_letter,384,False,0.0,0.0,True,"['subject', 'grade', 'topic']",Question:,Choices:,The correct answer is:,,genA_006,128,0.3203125,32.03125,0.1640625,0.0,880.0078125,371.04812474457384,"{0: 0.9375, 1: 0.0390625, 2: 0.0078125, 3: 0.0078125, 4: 0.0078125}"
explicit_instruction,hint_only,letter_dot,answer_prefix,256,greedy,strict_first_letter,384,False,0.0,0.0,True,"['subject', 'grade', 'topic']",Question:,Choices:,The correct answer is:,,genA_001,128,0.3046875,30.46875,0.0703125,0.0,437.546875,175.17022343347733,"{0: 0.9296875, 1: 0.046875, 2: 0.015625, 4: 0.0078125}"
explicit_instruction,hint_lecture,letter_dot,answer_prefix,256,greedy,strict_first_letter,384,False,0.0,0.0,True,"['subject', 'grade', 'topic']",Question:,Choices:,The correct answer is:,,genA_003,128,0.3046875,30.46875,0.0625,0.0,873.5390625,368.5161949957167,"{0: 0.96875, 1: 0.0234375, 3: 0.0078125}"
explicit_instruction,lecture_only,letter_dot,answer_prefix,256,greedy,strict_first_letter,384,False,0.0,0.0,True,"['subject', 'grade', 'topic']",Question:,Choices:,The correct answer is:,,genA_002,128,0.2890625,28.90625,0.09375,0.0,693.7421875,293.4274092006656,"{0: 0.953125, 1: 0.0390625, 4: 0.0078125}"
question_first,lecture_only,letter_dot,answer_prefix,256,greedy,strict_first_letter,384,False,0.0,0.0,True,"['subject', 'grade', 'topic']",Question:,Choices:,The correct answer is:,,genA_008,128,0.28125,28.125,0.1640625,0.0,661.0078125,295.0747653162921,"{0: 0.9453125, 1: 0.0390625, 3: 0.015625}"
context_first,lecture_only,letter_dot,answer_prefix,256,greedy,strict_first_letter,384,False,0.0,0.0,True,"['subject', 'grade', 'topic']",Question:,Choices:,The correct answer is:,,genA_005,128,0.265625,26.5625,0.15625,0.0,690.9921875,297.7691139985221,"{0: 0.9296875, 1: 0.0546875, 3: 0.015625}"
